redhat jgroups	Product redhat jgroups
CVE-2018-9362	processMessagePart InboundSmsHandler.java , possible remote denial service due improper input validation . could lead remote denial service additional execution privileges needed . User interaction needed exploitation . Product : Android Versions : Android-6.0 Android-6.0.1 Android-7.0 Android-7.1.1 Android-7.1.2 Android-8.0 Android-8.1 Android ID : A-72298611 .
CVE-2016-6802	Apache Shiro 1.3.2 allows attackers bypass intended servlet filters gain access leveraging use non-root servlet context path .
redhat jboss_enterprise_web_platform	Product redhat jboss_enterprise_web_platform
CVE-2012-3369	CallerIdentityLoginModule JBoss Enterprise Application Platform ( EAP ) 5.2.0 , Web Platform ( EWP ) 5.2.0 , BRMS Platform 5.3.1 , SOA Platform 5.3.1 allows remote attackers gain privileges previous user via null password , causes previous user 's password used .
growl_project growl	Product growl_project growl
CVE-2017-16042	Growl adds growl notification support nodejs . Growl 1.10.2 properly sanitize input passing exec , allowing arbitrary command execution .
apereo cas_server	Product apereo cas_server
CVE-2014-2296	XML external entity ( XXE ) vulnerability java/org/jasig/cas/util/SamlUtils.java Jasig CAS server 3.4.12.1 3.5.x 3.5.2.1 , Google Accounts Integration enabled , allows remote unauthenticated users bypass authentication via crafted XML data .
CVE-2014-7809	Apache Struts 2.0.0 2.3.x 2.3.20 uses predictable < : token/ > values , allows remote attackers bypass CSRF protection mechanism .
CVE-2009-1524	Cross-site scripting ( XSS ) vulnerability Mort Bay Jetty 6.1.17 allows remote attackers inject arbitrary web script HTML via directory listing request containing ; ( semicolon ) character .
netapp oncommand_balance	Product netapp oncommand_balance
netapp oncommand_performance_manager	Product netapp oncommand_performance_manager
oracle identity_manager	Product oracle identity_manager
oracle clusterware	Product oracle clusterware
oracle utilities_advanced_spatial_and_operational_analytics	Product oracle utilities_advanced_spatial_and_operational_analytics
oracle global_lifecycle_management_opatchauto	Product oracle global_lifecycle_management_opatchauto
CVE-2017-15095	deserialization flaw discovered jackson-databind versions 2.8.10 2.9.1 , could allow unauthenticated user perform code execution sending maliciously crafted input readValue method ObjectMapper . issue extends previous flaw CVE-2017-7525 blacklisting classes could used maliciously .
CVE-2019-10403	Jenkins 2.196 earlier , LTS 2.176.3 earlier escape SCM tag name tooltip SCM tag actions , resulting stored XSS vulnerability exploitable users able control SCM tag names actions .
simplexml_project simplexml	Product simplexml_project simplexml
CVE-2017-1000190	SimpleXML ( latest version 2.7.1 ) vulnerable XXE vulnerability resulting SSRF , information disclosure , DoS .
CVE-2021-31684	vulnerability discovered indexOf function JSONParserByteArray JSON Smart versions 1.3 2.4 causes denial service ( DOS ) via crafted web request .
apache olingo	Product apache olingo
CVE-2020-1925	Apache Olingo versions 4.0.0 4.7.0 provide AsyncRequestWrapperImpl class reads URL Location header , sends GET DELETE request URL . may allow implement SSRF attack . attacker tricks client connect malicious server , server make client call URL including internal resources directly accessible attacker .
CVE-2012-4418	Apache Axis2 allows remote attackers forge messages bypass authentication via `` XML Signature wrapping attack . ''
jenkins black_duck_hub	Product jenkins black_duck_hub
CVE-2018-1000190	exposure sensitive information vulnerability exists Jenkins Black Duck Hub Plugin 4.0.0 older PostBuildScanDescriptor.java allows attackers Overall/Read access connect attacker-specified URL using attacker-specified credentials IDs obtained another method , capturing credentials stored Jenkins .
CVE-2009-0033	Apache Tomcat 4.1.0 4.1.39 , 5.5.0 5.5.27 , 6.0.0 6.0.18 , Java AJP connector mod_jk load balancing used , allows remote attackers cause denial service ( application outage ) via crafted request invalid headers , related temporary blocking connectors encountered errors , demonstrated error involving malformed HTTP Host header .
redhat enterprise_linux_server_eus	Product redhat enterprise_linux_server_eus
mozilla firefox	Product mozilla firefox
mozilla firefox_esr	Product mozilla firefox_esr
CVE-2018-5158	PDF viewer sufficiently sanitize PostScript calculator functions , allowing malicious JavaScript injected crafted PDF file . JavaScript run permissions PDF viewer worker . vulnerability affects Firefox ESR < 52.8 Firefox < 60 .
CVE-2014-1972	Apache Tapestry 5.3.6 relies client-side object storage without checking whether client modified object , allows remote attackers cause denial service ( resource consumption ) execute arbitrary code via crafted serialized data .
microsoft visual_studio_2017	Product microsoft visual_studio_2017
microsoft visual_studio_2019	Product microsoft visual_studio_2019
oracle application_express	Product oracle application_express
CVE-2020-26870	Cure53 DOMPurify 2.0.17 allows mutation XSS . occurs serialize-parse roundtrip necessarily return original DOM tree , namespace change HTML MathML , demonstrated nesting FORM elements .
mchange c3p0	Product mchange c3p0
CVE-2018-20433	c3p0 0.9.5.2 allows XXE extractXmlConfigFromInputStream com/mchange/v2/c3p0/cfg/C3P0ConfigXmlUtils.java initialization .
drupal drupal	Product drupal drupal
backdropcms backdrop	Product backdropcms backdrop
opensuse backports_sle	Product opensuse backports_sle
redhat cloudforms	Product redhat cloudforms
oracle policy_automation_connector_for_siebel	Product oracle policy_automation_connector_for_siebel
oracle policy_automation	Product oracle policy_automation
oracle communications_operations_monitor	Product oracle communications_operations_monitor
oracle knowledge	Product oracle knowledge
oracle financial_services_liquidity_risk_measurement_and_management	Product oracle financial_services_liquidity_risk_measurement_and_management
oracle financial_services_balance_sheet_planning	Product oracle financial_services_balance_sheet_planning
oracle financial_services_data_governance_for_us_regulatory_reporting	Product oracle financial_services_data_governance_for_us_regulatory_reporting
oracle hospitality_simphony	Product oracle hospitality_simphony
oracle financial_services_basel_regulatory_capital_internal_ratings_based_approach	Product oracle financial_services_basel_regulatory_capital_internal_ratings_based_approach
oracle financial_services_basel_regulatory_capital_basic	Product oracle financial_services_basel_regulatory_capital_basic
oracle insurance_allocation_manager_for_enterprise_profitability	Product oracle insurance_allocation_manager_for_enterprise_profitability
oracle insurance_accounting_analyzer	Product oracle insurance_accounting_analyzer
oracle financial_services_analytical_applications_reconciliation_framework	Product oracle financial_services_analytical_applications_reconciliation_framework
oracle enterprise_session_border_controller	Product oracle enterprise_session_border_controller
oracle financial_services_regulatory_reporting_for_de_nederlandsche_bank	Product oracle financial_services_regulatory_reporting_for_de_nederlandsche_bank
oracle communications_analytics	Product oracle communications_analytics
oracle jdeveloper_and_adf	Product oracle jdeveloper_and_adf
oracle financial_services_retail_performance_analytics	Product oracle financial_services_retail_performance_analytics
oracle financial_services_enterprise_financial_performance_analytics	Product oracle financial_services_enterprise_financial_performance_analytics
oracle application_service_level_management	Product oracle application_service_level_management
oracle diagnostic_assistant	Product oracle diagnostic_assistant
oracle siebel_mobile_applications	Product oracle siebel_mobile_applications
oracle policy_automation_for_mobile_devices	Product oracle policy_automation_for_mobile_devices
oracle financial_services_data_foundation	Product oracle financial_services_data_foundation
oracle system_utilities	Product oracle system_utilities
oracle insurance_performance_insight	Product oracle insurance_performance_insight
oracle insurance_ifrs_17_analyzer	Product oracle insurance_ifrs_17_analyzer
oracle financial_services_revenue_management_and_billing	Product oracle financial_services_revenue_management_and_billing
oracle financial_services_regulatory_reporting_for_european_banking_authority	Product oracle financial_services_regulatory_reporting_for_european_banking_authority
oracle insurance_data_foundation	Product oracle insurance_data_foundation
oracle financial_services_regulatory_reporting_for_us_federal_reserve	Product oracle financial_services_regulatory_reporting_for_us_federal_reserve
oracle communications_eagle_application_processor	Product oracle communications_eagle_application_processor
joomla joomla\\!	Product joomla joomla\\!
juniper junos	Product juniper junos
CVE-2019-11358	jQuery 3.4.0 , used Drupal , Backdrop CMS , products , mishandles jQuery.extend ( true , { } , ... ) Object.prototype pollution . unsanitized source object contained enumerable __proto__ property , could extend native Object.prototype .
CVE-2019-1003033	sandbox bypass vulnerability exists Jenkins Groovy Plugin 2.1 earlier pom.xml , src/main/java/hudson/plugins/groovy/StringScriptSource.java allows attackers Overall/Read permission execute arbitrary code Jenkins master JVM .
redhat hibernate_validator	Product redhat hibernate_validator
redhat fuse	Product redhat fuse
netapp element	Product netapp element
netapp snapcenter_plug-in	Product netapp snapcenter_plug-in
netapp management_services_for_element_software_and_netapp_hci	Product netapp management_services_for_element_software_and_netapp_hci
oracle solaris	Product oracle solaris
oracle hospitality_suite8	Product oracle hospitality_suite8
oracle access_manager	Product oracle access_manager
oracle http_server	Product oracle http_server
oracle hyperion_financial_management	Product oracle hyperion_financial_management
oracle sd-wan_aware	Product oracle sd-wan_aware
oracle hospitality_opera_5_property_services	Product oracle hospitality_opera_5_property_services
oracle argus_safety	Product oracle argus_safety
oracle zfs_storage_appliance_kit	Product oracle zfs_storage_appliance_kit
oracle peoplesoft_enterprise_cs_sa_integration_pack	Product oracle peoplesoft_enterprise_cs_sa_integration_pack
oracle real_user_experience_insight	Product oracle real_user_experience_insight
oracle communications_cloud_native_core_network_repository_function	Product oracle communications_cloud_native_core_network_repository_function
oracle retail_eftlink	Product oracle retail_eftlink
oracle primavera_portfolio_management	Product oracle primavera_portfolio_management
oracle vm_virtualbox	Product oracle vm_virtualbox
oracle retail_order_management_system	Product oracle retail_order_management_system
oracle communications_service_broker	Product oracle communications_service_broker
oracle java_se	Product oracle java_se
oracle argus_insight	Product oracle argus_insight
oracle argus_analytics	Product oracle argus_analytics
oracle airlines_data_model	Product oracle airlines_data_model
oracle mysql_connectors	Product oracle mysql_connectors
oracle mysql_workbench	Product oracle mysql_workbench
oracle application_performance_management	Product oracle application_performance_management
oracle banking_loans_servicing	Product oracle banking_loans_servicing
oracle banking_enterprise_default_managment	Product oracle banking_enterprise_default_managment
oracle communications_data_model	Product oracle communications_data_model
